close,date,high,low,oi,open,symbol,time,volume
33.05,2020-01-03,35.0,18.55,221300.0,35.0,BANKNIFTY09JAN2031500PE,09:15:00,41220
37.2,2020-01-03,38.6,33.05,221300.0,33.8,BANKNIFTY09JAN2031500PE,09:16:00,50380
35.35,2020-01-03,38.65,35.35,239260.0,37.0,BANKNIFTY09JAN2031500PE,09:17:00,50280
35.0,2020-01-03,35.75,33.2,239260.0,35.1,BANKNIFTY09JAN2031500PE,09:18:00,56220
36.05,2020-01-03,36.35,34.8,239260.0,35.1,BANKNIFTY09JAN2031500PE,09:19:00,59180
36.4,2020-01-03,39.2,36.05,276680.0,36.3,BANKNIFTY09JAN2031500PE,09:20:00,44740
36.5,2020-01-03,36.85,35.2,276680.0,36.4,BANKNIFTY09JAN2031500PE,09:21:00,35400
37.9,2020-01-03,37.9,36.0,276680.0,36.5,BANKNIFTY09JAN2031500PE,09:22:00,29460
37.4,2020-01-03,38.75,36.75,280340.0,37.5,BANKNIFTY09JAN2031500PE,09:23:00,30200
37.7,2020-01-03,38.15,36.85,280340.0,37.35,BANKNIFTY09JAN2031500PE,09:24:00,19340
35.75,2020-01-03,38.0,35.35,280340.0,37.55,BANKNIFTY09JAN2031500PE,09:25:00,26020
33.95,2020-01-03,36.25,33.95,281020.0,35.65,BANKNIFTY09JAN2031500PE,09:26:00,45360
35.65,2020-01-03,35.7,33.95,281020.0,33.95,BANKNIFTY09JAN2031500PE,09:27:00,24200
35.4,2020-01-03,35.75,35.15,281020.0,35.65,BANKNIFTY09JAN2031500PE,09:28:00,17220
34.9,2020-01-03,35.6,34.85,274840.0,35.4,BANKNIFTY09JAN2031500PE,09:29:00,18840
36.9,2020-01-03,37.65,34.5,274840.0,34.5,BANKNIFTY09JAN2031500PE,09:30:00,31520
38.15,2020-01-03,38.85,36.55,274840.0,36.65,BANKNIFTY09JAN2031500PE,09:31:00,34540
38.1,2020-01-03,38.4,37.5,284900.0,38.1,BANKNIFTY09JAN2031500PE,09:32:00,30100
36.95,2020-01-03,38.1,36.2,284900.0,38.1,BANKNIFTY09JAN2031500PE,09:33:00,14460
37.75,2020-01-03,38.2,36.75,284900.0,37.05,BANKNIFTY09JAN2031500PE,09:34:00,13200
38.65,2020-01-03,38.8,37.85,288640.0,37.85,BANKNIFTY09JAN2031500PE,09:35:00,8600
37.85,2020-01-03,38.7,36.55,288640.0,38.65,BANKNIFTY09JAN2031500PE,09:36:00,7680
38.5,2020-01-03,38.7,37.65,288640.0,37.75,BANKNIFTY09JAN2031500PE,09:37:00,10740
38.0,2020-01-03,38.6,37.8,297260.0,38.5,BANKNIFTY09JAN2031500PE,09:38:00,13880
37.8,2020-01-03,39.0,37.75,297260.0,37.75,BANKNIFTY09JAN2031500PE,09:39:00,12900
38.35,2020-01-03,39.25,37.8,297260.0,37.8,BANKNIFTY09JAN2031500PE,09:40:00,16640
41.15,2020-01-03,42.0,37.95,297400.0,38.2,BANKNIFTY09JAN2031500PE,09:41:00,34120
44.9,2020-01-03,45.15,40.95,297400.0,41.2,BANKNIFTY09JAN2031500PE,09:42:00,24080
46.0,2020-01-03,49.45,44.5,297400.0,44.5,BANKNIFTY09JAN2031500PE,09:43:00,36320
48.75,2020-01-03,48.95,46.0,304340.0,46.0,BANKNIFTY09JAN2031500PE,09:44:00,35060
